TOI,epoch_num
101.01,32
102.01,121
105.01,21
106.01,190
107.01,12
112.01,108
114.01,160
116.01,25
129.01,86
135.01,15
143.01,17
150.01,60
157.01,180
159.01,24
163.01,87
165.01,26
173.01,3
182.01,26
185.01,90
190.01,8
192.01,11
194.01,10
195.01,22
199.01,4
201.01,11
231.01,13
232.01,47
236.01,13
241.01,31
246.01,9
250.01,27
264.01,34
267.01,10
272.01,12
349.01,9
368.01,14
391.01,20
398.01,29
404.01,14
413.01,24
418.01,27
423.01,15
433.01,40
453.01,8
471.01,12
472.01,75
477.01,14
479.01,16
481.01,23
483.01,18
490.01,16
495.01,54
501.01,40
505.01,31
507.01,51
508.01,4
511.01,32
527.01,6
559.01,3
567.01,27
573.01,3
585.01,4
587.01,5
590.01,3
615.01,4
621.01,13
622.01,14
624.01,9
625.01,4
626.01,8
640.01,9
645.01,25
655.01,54
656.01,50
675.01,14
677.01,8
683.01,12
738.01,101
744.01,10
766.01,12
767.01,5
769.01,9
774.01,8
778.01,8
780.01,13
781.01,29
818.01,6
820.01,4
822.01,6
828.01,4
834.01,25
842.01,131
857.01,5
858.01,19
899.01,25
905.01,18
924.01,24
934.01,65
959.01,14
964.01,37
966.01,7
984.01,4
987.01,4
1012.01,26
1019.01,12
1025.01,9
1050.01,12
1059.01,6
1069.01,14
1076.01,20
1092.01,21
1107.01,12
1135.01,21
1141.01,17
1148.01,32
1150.01,39
1151.01,20
1161.01,80
1163.01,21
1165.01,94
1173.01,22
1176.01,33
1181.01,119
1182.01,7
1186.01,14
1198.01,7
1236.01,25
1248.01,108
1251.01,68
1257.01,7
1259.01,102
1264.01,133
1265.01,42
1268.01,17
1270.01,32
1271.01,12
1274.01,22
1295.01,86
1297.01,6
1299.01,70
1300.01,16
1302.01,23
1337.01,7
1341.01,9
1365.01,11
1385.01,8
1419.01,19
1420.01,7
1425.01,82
1431.01,18
1454.01,8
1455.01,16
1456.01,3
1458.01,6
1465.01,108
1494.01,4
1573.01,5
1612.01,51
1615.01,9
1627.01,22
1647.01,14
1651.01,30
1670.01,7
1676.01,6
1682.01,31
1714.01,29
1721.01,10
1725.01,80
1766.01,17
1767.01,5
1771.01,14
1796.01,14
1810.01,30
1811.01,11
1815.01,57
1825.01,29
1826.01,63
1830.01,8
1833.01,13
1845.01,55
1864.01,146
1874.01,13
1909.01,17
1924.01,16
1934.01,4
1936.01,9
1937.01,66
1951.01,6
1970.01,17
1976.01,3
2000.01,6
2014.01,22
2017.01,6
2020.01,16
2021.01,7
2024.01,24
2025.01,12
2031.01,7
2040.01,6
2109.01,18
2126.01,94
2127.01,7
2129.01,21
2131.01,29
2140.01,28
2154.01,17
2197.01,4
2200.01,89
2222.01,121
2403.01,31
2464.01,12
2579.01,20
3460.01,5
3612.01,16
3846.01,29
3849.01,18
3883.01,6
3910.01,5
3960.01,45
4059.01,64
4087.01,35
4137.01,12
4138.01,34
4140.01,12
4145.01,11
4153.01,4
4162.01,19
4381.01,17
4420.01,6
4449.01,10
4470.01,10
4486.01,8
4516.01,4
4535.01,13
4545.01,9
4601.01,15
4606.01,3
4612.01,16
4623.01,12