,TOI,pl_massj
210,2127.01,0.197
71,1456.01,0.244
74,192.01,0.244
206,828.01,0.27
239,2464.01,0.278
5,114.01,0.28
60,190.01,0.3
144,194.01,0.311
241,4545.01,0.335
192,2014.01,0.34
63,231.01,0.37
84,2579.01,0.371
77,483.01,0.38
23,4606.01,0.387
21,201.01,0.42
153,1909.01,0.42
80,1259.01,0.441
75,107.01,0.456
133,4516.01,0.487
50,471.01,0.5
227,769.01,0.501
155,1767.01,0.525
97,1283.01,0.534
68,744.01,0.59
211,1833.01,0.59
134,767.01,0.598
233,4623.01,0.613
150,1714.01,0.66
196,905.01,0.667
6,423.01,0.701
12,1612.01,0.709
104,1864.01,0.736
182,1236.01,0.752
110,1050.01,0.78
52,490.01,0.83
172,477.01,0.884
119,1069.01,0.899
242,818.01,0.908
29,505.01,0.91
20,2403.01,0.92
217,404.01,0.922
13,1165.01,0.938
61,780.01,0.941
247,1627.01,0.97
174,2197.01,0.98
65,655.01,1.14
0,4470.01,1.162
28,135.01,1.17
72,453.01,1.17
18,501.01,1.196
234,2140.01,1.2
66,163.01,1.22
114,677.01,1.236
11,1682.01,1.28
31,1465.01,1.33
34,116.01,1.34
251,781.01,1.345
17,195.01,1.36
90,1725.01,1.43
19,105.01,1.44
59,391.01,1.4688
146,1810.01,1.53
148,1826.01,1.54
215,264.01,1.5461
212,1721.01,1.612
42,1265.01,1.682
96,2131.01,1.76
103,4486.01,1.77
4,398.01,1.8
130,246.01,1.8
89,2126.01,1.801
57,1766.01,1.94
40,1771.01,2.148
168,567.01,2.286
243,2129.01,2.316
138,150.01,2.51
129,267.01,2.78
55,1150.01,2.88
49,1924.01,3.1
124,1936.01,3.147
83,1573.01,3.191
101,625.01,3.58
118,1198.01,3.91
53,508.01,4.07
225,1458.01,4.22
255,1494.01,4.22
43,1651.01,4.4
7,1148.01,5.18
109,624.01,6.78
140,2020.01,8.72
30,185.01,10.4
9,1151.01,17